"20000 çå",.35,5
"10000 çå",.35,50
"6000 çå1",.35,100
"6000 çå",.35,5
"4000 çå",.35,100
"3000 çå",.35,100
"2000 çå",.35,500
"2000 çç",.38,600
"1500 çå",.35,600
"1000 çå",.25,100
"1000 çç",.27,400
"600 çç",.31,1500
"400 çç1",.28,6000
"400 çç",.25,3500
"100 çç",.44,30000
"2000 çç3å",.36,500
"2000 çå1",.38,500
"1500 çå3",.38,1500
"1500 çå1",.35,600
"1000 çå3",.33,1800
"700 çå",.38,5000
"150 Çç",.35,25000
"100 Çç",.36,35000
"50 Çç",.3,70000
"30 Çç",.26,200000
"20 Çç",.2,120000
"7 Çç",.07,220000
