3,.38,.3403233,1.203647
3,.4,.376991,1.333333
3,.425,.4255874,1.505208
3,.45,.4771293,1.6875
3,.475,.3516161,1.243587
3,.5,.5890485,2.083333
3,.53,.6618548,2.340832
3,.56,.7389024,2.613333
3,.6,.8482299,2.999999
3,.63,.9351735,3.307499
3,.67,1.057696,3.740832
3,.69,1.121784,3.967499
3,.71,1.187757,4.200831
3,.75,1.325359,4.6875
3,.77,1.396988,4.940833
3,.8,1.507964,5.333332
3,.83,1.623182,5.740831
3,.85,1.70235,6.020832
3,.9,1.908517,6.749998
3,.93,2.037872,7.207499
3,.95,2.126465,7.520832
3,1,2.356194,8.333332
3,1.06,2.64742,9.363331
3,1.08,2.748265,9.719999
3,1.12,2.95561,10.45333
3,1.18,3.280764,11.60333
3,1.25,3.681555,13.02084
3,1.32,4.105434,14.52
3,1.4,4.61814,16.33333
3,1.45,4.953897,17.52083
3,1.5,5.301438,18.75
3,1.56,5.734035,20.28
3,1.6,6.031857,21.33333
3,1.7,6.809402,24.08333
3,1.8,7.634069,26.99999
3,1.9,8.505861,30.08333
3,2,9.424779,33.33334
3,2.12,10.58968,37.45332
3,2.24,11.82244,41.81333
3,2.36,13.12306,46.41333
3,2.44,14.02784,49.61333
3,2.5,14.72621,52.08332
4,.02,.0012564,.0044436
4,.025,.0019632,.0069433
4,.03,.0028272,.0099991
4,.032,.0032168,.0113771
4,.035,.0038119,.0134818
4,.04,.0050264,.0177772
4,.045,.0063284,.0223821
4,.05,.0078536,.0277764
4,.06,.0113096,.0399995
4,.063,.0124687,.044099
4,.071,.0158364,.0560098
4,.08,.020106,.0711104
4,.09,.0254468,.0899996
4,.1,.0314156,.1111099
4,.112,.0394079,.1393769
4,.12,.0452388,.1599995
4,.125,.0490872,.1736104
4,.13,.0530928,.1877773
4,.14,.0615752,.2177777
4,.15,.0706856,.2499991
4,.16,.0804243,.2844427
4,.17,.090792,.3211109
4,.18,.1017872,.3599985
4,.19,.1134112,.40111
4,.2,.1256635,.4444436
4,.21,.1385439,.4899987
4,.224,.1576323,.5575102
4,.25,.1963492,.6944431
4,.265,.2206179,.7802761
4,.28,.2463008,.8711108
4,.3,.2827431,.999999
4,.315,.3117243,1.102499
4,.335,.3525651,1.246944
4,.355,.3959187,1.400276
4,.38,.4537644,1.604863
4,.4,.5026547,1.777777
4,.425,.5674499,2.006944
4,.45,.6361724,2.249999
4,.475,.4688215,1.658117
4,.5,.785398,2.777777
4,.53,.8824731,3.12111
4,.56,.9852032,3.484443
4,.6,1.130973,3.999999
4,.63,1.246898,4.409999
4,.67,1.410261,4.987777
4,.69,1.495712,5.289999
4,.71,1.583676,5.60111
4,.75,1.767146,6.249999
4,.77,1.86265,6.587776
4,.8,2.010619,7.11111
